Refacility,facilityname,Syste
16855,Kasafari Dispensary (CDF),19605
17766,Kabururu Dispensary,19604
17410,Mwikalikha Health Centre,19603
17370,St Lucy Medical Clinic,19598
17564,Kiambogo Medical Clinic (Wanjohi),19597
18925,Nyambene Medical & Surgical Centre,19591
20570,Muhuru Bay VCT Centre (Nyarami),19590
21117,Embu Drop In Centre,19582
16854,Kaathari Dispensary (CDF),19565
20170,Among'ura Community Dispensary,19562
18525,Kiplobotwa Dispensary,19561
21163,Orego Health Centre,19551
15113,Maji Moto Dispensary (Narok South),19546
20382,Bay Leaf Medical Clinic,19543
14205,Angata Health Centre,19536
14212,Archers Post Health Centre,19529
19945,Kiltamany Dispensary,19527
20741,Regional Blood Transfusion Centre (Mombasa),19515
15046,Loodoariak Dispensary,19513
17616,Kathaana Dispensary,19509
17058,Gathanji Dispensary,19505
21012,Beyond Zero Mobile Clinic(Kwale),19494
21206,KYC Transmara,19491
21041,Burumba Dispensary,19485
14901,Kipkoimet Tea Dispensary,19482
21226,Imani Medical and Laboratory Centre,19479
17023,Kaboi Dispensary,19474
20228,Ladopharma Medical Center,19472
12087,Illeret Health Centre,19471
17975,Tayabi Medical and Dental Clinic,19469
18825,Jehovah Rapha Clinic,19463
15200,Soin Sub County Hospital,19458
14459,Ngilai Dispensary,19456
20903,Makuri Dispensary,19454
15048,Lodungokwe Health Centre,19452
16857,Regional Blood Transfusion Centre (Embu),19451
15153,Matasia Nursing Home,19450
17161,Kyasioni Dispensary,19449
19884,Kapket Dispensary,19448
21020,Kakamega County Beyond Zero Mobile Clinic,19446
13359,Hagadera Hospital,19445
17178,Namirama Dispensary,19438
14053,Riongige Dispensary,19437
18071,Barsheba Medical Clinic,19434
17726,Osani Community Dispensary,19433
20322,Tabani Dispensary,19432
14643,Kaikor Health Centre,19431
14540,GSU Dispensary (Kibish),19429
17666,Sololo Makutano Dispensary,19422
17641,Ngenybogurio Dispensary,19417
21016,Homabay County Beyond Zero Mobile Clinic,19410
18889,Paradise Medical Clinic (Cheptais),19406
14778,Kaptel Dispensary,19405
20123,Avenue Hospital Kisumu,19402
18030,Nkutuk Elmuget Dispensary,19399
17813,Enkongu Narok Dispensary,19394
20675,Sostin Dispensary,19393
15062,Lokitaung Sub County Hospital,19392
14838,Kerio Health Centre,19385
14641,Kaibos Dispensary,19374
15096,Lowarengak Health Centre,19373
16324,Lokori Primary Health Care Programme,19370
18669,Eldoret Rapha Medical Centre,19363
14660,Kalemungorok Dispensary,19361
15117,Makutano Health Centre (Turkana West),19358
10851,New Mawingu Health Centre,19344
21056,Morpus Dispensary,19336
17152,Kapkoris Dispensary,19334
19344,Aldai Medical Services,19333
18714,Mummy Medical Clinic,19328
10688,Maranjau Dispensary,19327
20949,Aurora Medical Clinic,19324
19018,Kaplelach Clinic,19322
18505,Kemri Mimosa,19320
14827,Kenene Dispensary,19316
21102,Kohanga Dispensary,19314
13904,Nyambare Health Centre,19310
15058,Lokichoggio Military Dispensary,19308
18923,Angels Medical Services,19297
14527,GK Prisons Dispensary (Turkana Central),19294
15273,Nadapal Dispensary,19291
15173,Mercy Dispensary,19281
14638,PCEA Kaigai Medical Clinic,19278
19718,Garden Park Medical Centre,19277
21040,Muyafwa Dispensary,19276
20744,Lmarmaroi Dispensary,19271
19983,Hylax l Clinic (Masaba North),19269
17762,Borehole Five Dispensary,19264
14436,Elelea Health Centre,19260
19937,Kagio Nursing Home (Kerugoya),19257
14828,Kenyagoro Health Centre,19254
18994,Hope Medical Clinic(Loitokitok),19252
13028,Kibera Community Health Centre (Amref),19250
15272,Nacoharg Medical Centre,19247
17729,Junction Clinic,19242
20243,Port florence Health centre (Ndhiwa),19237
19986,Masokani Dispensary,19234
18316,Kaunguni Dispensary,19233
20147,Neema Medical Home Limited,19232
20650,Koibarak Dispensary,19231
21057,Turning Point Medical Centre,19228
20038,Nyayiera Dispensary (Rarieda),19227
17086,Seguton Dispensary,19221
15095,Loving Care (MCK) Health Centre,19205
18659,Florex Medical Clinic,19203
14986,Kongoni Dispensary,19196
14092,Sino Dispensary,19192
18137,A to Z Quality Health Family Health Services,19189
20828,Trinity Medical Clinic(Olkeri),19188
21172,Ngendalel Dispensary (Transmara),19187
19065,Nyali Childrens Hospital (Likoni),19185
20834,Mount Olive Sinai Hospital,19182
21095,Kapsegut Dispensary,19179
20166,Ngiini Dispensary Kathiani,19173
14924,Kiptagich Model Health Centre,19170
21118,Asumbi Teachers Training College,19168
19513,Kawangware Health Centre,19160
18958,Ndunguni dispensary,19156
20437,Tumaini Welliness Centre,19148
20819,Ting'ang'a Dispensary,19146
20037,St Mathews Kandaria Dispensary,19145
21060,Neela Dispensary,19143
16852,Gaatia Dispensary,19139
14443,Emmaus Clinic,19137
18576,Mong'oni Dispensary,19134
14234,Barotion (AIC) Dispensary,19130
14943,Kisima Health Centre,19129
20139,St Luke Clinic Nakuru,19128
18052,Nyikendo Medical Clinic,19111
13865,Nyaburi Clinic,19110
17363,Most Precious Blood Sisters Dispensary,19100
20496,Giika Dispensary,19093
20503,Jaber Dispensary,19090
20405,AAR Health Care,19083
18342,Nyamira Royal Clinic,19082
18613,Glory Health Clinic,19081
20743,Lolkuniyani Dispensary,19072
19196,Katangi Medical Clinic,19071
18626,Beggs Nursing Home (Matunda),19069
17362,St Angela Melici Health Centre,19066
19998,Karatina Model Health Centre,19065
18350,Mwangaza Medical Clinic,19055
14159,Urenga Health centre,19046
20282,Kenlands Health Services,19027
19020,Zahri Medical Clinic,19024
14447,Emitik Dispensary,19023
15261,Mutara Dispensary,19022
17686,Susamed Medical Clinic,19020
19446,Jamii Medical Clinic (Mukuru),19019
18873,Wondeni Dispensary,19018
18478,Tumaini Medical Clinic (Kabaa),19016
19185,Athirunjine Runjine Dispensary,19014
20936,Bobaracho Dispensary,19013
18389,Kamulu Medical Centre,19012
20594,Londiani Forest Dispensary,18997
18216,Kitum Dispensary,18994
19899,Eshiabwali Health Centre,18993
18769,AL Amin Nursing Home,18984
14661,St Bridgit Kalemunyang Dispensary,18983
17793,Barut dispensary,18976
16815,Lord of Mercy Clinic,18975
20745,Remot Dispensary,18969
18134,Eunik Highway Medical Clinic,18964
16982,Mongorisi Health Centre,18963
18229,Wamboo Dispensary,18959
15236,Mpalla Dispensary,18958
20580,National Virology Reference Lab,18952
17714,Nyaore Dispensary,18944
24796,Oracle Healthcare Ltd,18942
18244,Kaewa Dispensary,18941
17914,Tumaini Health Services (Makindu),18939
21017,Nakuru Beyond Zero Mobile Clinic,18937
17210,Ketitui Dispensary,18936
20617,Sasimua Dispensary,18935
18126,Busia Trailer Park Clinic,18934
18964,ACK Leah Njoki Dispensary,18931
21228,Joy Medical Clinic (Lusigetti),18930
20589,Baranga Dispensary,18929
18459,Savannah Likoni Medical Centre,18928
14896,Kipkelion (CHFC) Dispensary,18926
19893,Kinyambu Dispensary,18925
19946,Ndonyo Nasipa Dispensary,18923
19622,Malaika Dispensary,18917
19992,Kathathani Medical Clinic,18914
19892,Machinery Health Care Centre,18912
20167,Pesi Medical Centre,18911
15103,Maasai Medical Centre,18907
18514,Kathome Health Centre,18903
18289,Mutunguru PCEA Dispensary,18902
18185,Kapterit Dispensary,18900
20939,I Choose Life Africa (Bomet),18899
17371,Tumaini clinic (Kiambu West),18897
17630,Seaside Nursing Home,18896
17997,Dandora Health Services,18895
18586,Iluvya Dispenasary,18892
18997,Al Iklas Nursing Home,18891
19491,Victory Medicare,18890
20146,KEMRI/CDC Health Services,18889
21034,Akiriamasi Dispensary,18888
14541,GSU Field Dispensary (Kajiado),18887
18440,Afya Medical Clinic (Nakuru),18885
14538,Greenview Nursing Home,18884
13888,Nyalenda Nursing Home,18880
14585,Itembe Dispensary,18878
13981,Omiro Dispensary,18877
18643,Kithoka Chemist,18876
17974,St Jude's Medical Clinic,18875
18623,Premier Medical Clinic,18874
14972,Koiwalelach Dispensary,18873
19997,Wema Private Clinic,18872
20232,Mercy Clinic,18868
19278,Hope medical clinic ( Githurai),18867
19406,Quality Health Care Clinic (Naivasha),18865
20117,St John Medical Clinic,18864
18698,Magana Medical Clinic,18863
20829,Duse Dispensary,18859
18222,St John's Community Clinic (Njiru),18858
18601,St Joseph Mission Dispensary Chumvini,18857
17949,Destiny Medical Centre (Ruaraka),18856
18690,Maria Salus Infirmorum Dispensary,18854
20890,Lodeng'o Health Centre,18853
18657,Village Hope Core International,18852
20186,Sango Kabuyefwe Dispensary,18851
18929,Kurungu Dispensary,18850
19714,Karen Hospital (Karatina),18848
19921,Bethsaida Catholic Dispensary,18845
20182,Kathome Dispensary (Kangundo),18843
14949,Kitale Nursing Home,18840
18555,Shalome Medical Clinic,18839
19903,Muua Dispensary,18837
13973,Okitta Maternity Nursing Home,18836
19139,Mai Mahiu Maternity and Hospital,18833
21249,Githuci Dispesary,18832
18811,Kalima Dispensary,18828
21151,Rurii Dispensary,18825
14871,New Kimilili Medical Clinic,18824
17998,Rays International Clinic (Kariobangi),18823
18388,Divine Mercy Parish Dispensary,18811
13863,Nyabola Dispensary,18810
18223,Aga Khan Clinic Kitengela,18805
13960,Ogada Health Centre,18804
17385,Tumaini Medical Centre (Sarang'ombe),18802
14700,Kapelibok Dispensary,18800
15201,Mogwa Dispensary,18799
20065,Aga Khan Medical Clinic (laikipia east),18796
20970,Mutulani Dispensary (Kaiti),18795
20969,Nzukini Dispensary (Kaiti),18792
20096,Mathare Football For Hope,18789
18795,Church Army Medical Clinic,18786
21076,Jomvu Wellness Centre,18784
18468,Bar Hostess Empowerment Support Program VCT,18782
12213,Katakani Dispensary,18781
20087,Yunasi Medical Centre,18779
14006,Owens Nursing Home,18776
18931,Mutethia Clinic Magutuni,18774
14937,Kiribwet Dispensary,18772
16921,Kiliku Dispensary,18769
17272,Emeroka Dispensary,18763
17245,Okook Dispensary,18762
19764,Karaihu Medical Clinic,18761
16939,Karura Dispensary,18757
20380,Afya Health System Hospital,18752
18930,Namarei Dispensary(Marsabit south),18750
17130,Kaptien Community Dispensary,18749
17744,Makoror Dispensary,18745
20309,Bore Singwaya Dispensary,18744
14547,Heshima Medical Clinic (Nakuru North),18743
18737,Lobei Health Centre,18741
17251,Meswo Medical Clinic,18738
19605,Heri Medical Clinic (Bombolulu),18737
18355,Nasiger Dispensary,18725
15120,Manyatta Medical Clinic,18722
19932,Mutonya Dispensary,18721
18264,GOK Prison Siaya,18720
14506,Geta Dispensary,18719
19967,Kimathi Dispensary,18714
18190,St Paul's Hospital,18710
17737,Migori Health Station Medical Clinic,18709
19688,Laini Moja Medical Clinic & Lab,18702
17645,Giithu Dispensary,18699
15101,Lukhome Health Centre,18698
14789,Kaptumek Dispensary,18695
12789,Tei Wa Yesu Health Centre,18690
17267,Seth Medical clinic,18688
18292,Matungulu Medical Centre,18686
19763,NYERI TECHNICAL DISPENSARY,18683
20346,AAR Adams Health Centre,18681
18522,Kitaima Dispensary,18679
18792,New Hope Medical Clinic (Manga),18678
21002,Kitui County Beyond Zero Campaign KBZ 544Y,18675
19234,Hope medical clinic ( babadogo),18669
17772,Kapkoros Dispensary (Tinderet),18668
18612,Fremo Medical Centre,18666
20351,Equity Medical Clinic (Embulbul),18659
20516,Mundobelwa Health Centre,18657
14218,Assumption Sisters Dispensary,18651
18892,Ong'amo Dispensary,18643
17313,Kapsiya Dispensary,18629
18863,Mulika Dispensary,18626
17305,Gatiaini Dispensary,18625
21191,Masaria Dispensary,18624
21184,Midodo Obuya Joy Haugesend,18623
18876,Kachuth Dispensary,18619
20929,Alpha Nursing Home,18616
17447,Musengo Medical Clinic,18613
17258,Kianda Dispensary,18612
17885,Imani Medical Services,18610
18872,KK Mwethe DIspensary,18608
14863,Kikton Medical Clinic,18606
17098,Kamar Dispensary,18604
20021,Kithito Medical Centre,18601
17133,Eshirembe Dispensary,18600
18509,Masimba Dispensary,18599
14687,Kangatosa Dispensary,18597
20241,Kobodo Dispensary,18596
19472,Hamza Medical Centre,18595
20278,Rehoboth Maternity and Nursing Home (Mwingi Central),18594
14554,Huruma Mobile Clinic,18592
20992,Alpha Medical Clinic (Kambu),18586
19237,Mutuati Catholic Mission Hospital,18584
17717,Komarock Modern Medical Care,18582
18446,Nyanturago Health Centre (Nyamira),18581
18864,Igarii Dispensary,18580
17961,Kaki Family Medical Clinic,18578
20162,Sikhendu Dispensary,18576
18568,Family Nursing Home and Maternity  ( Mwingi Central),18572
10197,Gaciongo Dispensary (Kirinyaga),18568
17334,Cheptangulgei Dispensary,18565
20401,Mutati Dispensary,18564
13906,Nyambunwa Medical Clinic,18563
14655,Kakuma Mission Hospital,18557
16655,Kiomo Dispensary,18555
14365,Cheptabes Dispensary,18551
14744,Kapngetuny Dispensary,18550
17318,Kapkures Dispensary (Kericho),18546
17933,St Joseph Nursing Home (Eastleigh North),18536
18837,Bluebells Medical Clinic,18533
17013,Cheptilil Dispensary,18532
19227,Kathangari CFW Clinic,18531
14759,Kapsimotwa Dispensary,18530
16822,Mercy Dispensary (Lare),18529
20963,AL Nur Medical Clinic & Laboratory,18526
20565,Olkaria Community Health Centre (Naivasha),18525
14699,Kapedo Sub County Hospital,18524
18843,St Richard's Medical Clinic,18522
19071,Clinix (Meru),18519
18358,Kahaaro Dispensary,18518
14518,GK Prison Dispensary (Nandi Central),18516
17742,Kiti Dispensary,18515
14251,Bethsaida (AIC) Dispensary (Nakuru),18514
19750,Cheptantan Dispensary,18512
14308,Chelelach Dispensary,18509
20387,Wankam Medical Clinic,18508
14814,Kataboi Dispensary,18506
21130,Enooseyia Dispensary,18505
20366,Chepnyal GOK Dispensary,18499
18878,Kiganjo Medical Centre,18498
17059,Ithangarari Dispensary,18497
14793,Kapturo Dispensary (Bartabwa),18496
21122,East Laikipia Dispensary,18486
20792,Kisayani Dispensary,18485
14709,Kapkein Dispensary,18484
14604,Kaaleng Health Centre,18483
18462,Ndumoni Dispensary,18482
19336,Ndonyo Medical Services (Naivasha Kwa Muya Clinic),18480
18001,Prudent Medical Clinic (Kariobangi),18479
16958,Ikalyoni Dispensary,18478
20956,AAR Health Care-Kisumu,18474
18868,Matabithi Dispensary,18468
21175,CFW Clinic Ugunja,18466
14322,Chemomi Tea Dispensary,18465
14627,Kaborok Dispensary,18464
10379,Joshua Mbai Memorial Dispensary,18463
17854,Pona Medical Clinic,18462
18282,Glovnet VCT,18461
20187,Umoja III Medical Centre(Njiru),18460
19458,Innercore Medical Clinic,18459
12374,Kiu (AIC) Dispensary,18457
20937,Kiliman Assessment Center,18456
20737,Nthungu Dispensary,18454
14350,Chepkunyuk Dispensary (Kipkelion),18453
20557,Aga Khan Health Service Bungoma Centre,18452
17060,Kiarutara Dispensary,18449
15102,Luoniek Dispensary,18447
14766,Kapsorok Dispenasry,18446
19722,Cordis Maria Dispensary,18441
20804,Kiteng'ei Dispensary,18440
17511,North Star Alliance Clinic,18438
19827,Honi (PCEA) Dispensary,18433
15186,Milima Tatu Dispensary,18432
18599,North Star Alliance VCT,18431
18174,Mbiri (ACK) Dispensary,18430
19479,Nile Medical Care,18428
14284,Chagaiya Dispensary,18426
14819,Katuiyo Dispensary,18422
18197,Edkar Medical Clinic,18421
14760,Kapsinendet Dispensary,18420
14675,Kamoi Health Centre,18417
16926,Kilulu Dispensary,18416
19276,Stars general medical clinic,18415
15057,Lokichar (RCEA) Health Centre,18414
18021,Afya Njema Medical Clinic (Nyeri North),18413
20651,Kulamawe Medical Services,18412
17912,Kirathe Dispensary,18410
14645,Kainuk Health Centre,18408
16825,Kibirichia Medcare,18406
18391,Mugutha Dispensary,18405
18246,Katothya Dispensary,18398
18298,Mother and Child Clinic (Malindi),18396
20356,Kalemung'orok Dispensary,18393
15067,Lokwii Health Center,18391
15056,Lokapel Dispensary,18389
17350,Sirata Dispensary,18388
18710,Tumaini Medical Clinic (Yatta),18386
16974,Bokimai Dispensary,18383
20501,Nyangore Dispensary,18382
16382,Ngondi Dispensary,18376
20056,Nasha lengot Medical centre,18369
18853,Boru Haro Model Health Centre,18364
18702,Mirigamieru Health Services,18363
17276,Lpartuk Dispensary,18362
17044,St. Monica Medical Clinic,18361
20536,Khayega Medical Clinic,18360
21199,Holy Family Children's Home Dispensary,18358
15172,Mentera Dispensary,18357
20768,Biliqo Marara Dispensary,18355
20720,Logorate Dispensary,18351
19727,Kamacharia Dispensary,18350
17275,Lesidai Dispensary,18349
18854,Jirime Dispensary,18346
18582,Chesinende Dispensary,18345
14305,Chechan Dispensary,18342
12668,North Horr Health Centre,18340
18412,Nalis Medical Clinic,18336
12030,Gatab Health Centre,18335
17134,Magombo Community Dispensary,18334
21087,JANCAM Medical Centre,18332
16387,Mukangu Health Centre,18330
20507,Ulafu Dispensary,18329
16925,Wikithuki Dispensary,18324
20342,Malanga Dispensary (Vitengeni),18321
21111,Neema Medical Clinic,18320
17132,Mwea Diabetes Hypertension Community Clinic,18316
14183,AAR Nakuru Clinic,18312
15148,Mary Immaculate Dispensary (Laikipia East),18311
17045,Wakor Dispensary,18308
19316,LAD NAN Hospital,18305
23767,Gitiri Community Dispensary,18304
17097,Ng'endalel Dispensary,18302
17723,St Barkita Dispensary Utawala,18301
12828,Uran Health Centre,18298
12840,Walda Health Centre,18295
18271,Bristal Park Hospital,18292
15081,Lopiding Sub County Hospital,18291
15155,Matira Dispensary,18289
18464,Utawala Estate Health Centre,18288
17036,St. John's Nyabite,18285
17244,Ngecha Health Centre,18283
12322,Kinisa Dispensary,18282
15266,Mwenje Dispensary,18280
19712,Kiawara Medical Clinic,18278
17847,Alliance Medical Center,18271
20294,Kiamanyomba Dispensary,18269
14955,Kkit Nursing Home,18268
18584,Chemses Dispensary,18267
15063,Lokore Dispensary,18266
15064,Lokori (AIC) Health Centre,18264
13078,Mathare Police Depot,18262
14579,Kaapoka  Health Centre,18260
19189,Kamkomani Dispensary,18258
11985,Dambalafachana Health Centre,18256
20603,Gurumesa Dispensary,18252
15247,Muhotetu Dispensary,18250
19454,Mwatate Healthcare Centre,18249
19895,Green Cross Medical Clinic,18248
15093,Losogwa Dispensary,18246
18357,KEMSA Staff Clinic,18244
20959,Gosebe Dispensary,18240
18668,Reinha Rosary Medical Clinic,18230
17310,Chepsoo Dispensary,18229
17214,Kiija dispensary,18228
20347,Kome DIspensary,18227
17299,Kiplobotwo Dispensary,18223
15225,Morulem Dispensary,18222
19072,CCM Kaare,18220
19629,Al Fridaus Medical Clinic,18217
19450,Connections Medical Clinic,18216
17685,Imara Health Centre,18212
20618,Mungetho Dispensary,18211
19134,Kibirichia Health & Laboratory Services,18210
18121,Mombasa Roadside Wellness Centre,18200
17346,Makande Healthcare Services,18199
25111,Impact Health Care Annex,18197
12708,Ramata Nursing Home,18195
22380,Sere Dispensary,18190
25412,Ammusait General Hospital,18189
23019,Bosnia Dispensary,18187
15160,Mauche Medical Clinic,18185
23543,Star Hospital Kisumu (Annex),18184
23786,NGARA MAT CLINIC,18177
17333,Muchatha Dispensary,18174
24143,Tenwek Hospital Annex (Bomet),18173
25939,Tudor  Health Care- Mtwapa,18171
22379,Kemunchugu Dispensary,18159
22759,Shirumba Dispensary,18155
25658,Equata Medical Center,18148
25010,Kilili Health Care,18145
22476,Litare Community Health Centre,18143
22076,Kitale Hospital,18140
14293,Chebewor Dispensary,18139
26023,Lessos Healthcare Clinic,18137
26002,Igula Dispensary,18136
23611,AAR Healthcare buruburu,18134
22693,Kiaguthu Dispensary,18133
23553,Githunguri Dispensary,18132
23345,Lengusaka Dispensary,18126
22641,Keringet Nursing Home LTD,18125
25045,KNH Othaya Annex,18121
23367,Roseben Medical Centre,18120
23149,Kilifi Dental Centre,18118
25698,Namasanda Health Centre,18111
21968,Marathi dispensary,18109
23835,West Side Cottage,18103
23288,Reale Hospital Clinic,18101
22848,Uzima Uhai Health Centre,18100
19254,Loitokitok Medicare Centre,18097
22162,GALAXY HOSPITAL ISIOLO,18093
24443,Alfaroox  Medical Center,18090
24327,Sparcare Outpatient Clinic,18087
13438,Shantaabaq Health Centre (Lagdera),18086
18369,Uhuyi Dispensary,18080
23130,Afya Bora Medical Clinic,18078
24064,Nyaguda Medical Centre,18077
24117,Shirango Dispensary,18074
20784,Itumbule Dispensary,18073
17241,Itumbule Health Centre,18071
23752,Mleghwa Dispensary,18068
23439,AAR Donholm,18067
24520,Silent Hill Medical Clinic,18063
26212,The Marikiti Medical Center,18061
24570,Bangladesh Community Medical Clinic,18052
25719,The white cresent Hospital,18051
23482,Mission Care Nursing Home,18043
24587,Bristol Park Hospital Fedha,18041
24532,Mission Of Hope International Medical Clinic,18040
24001,Rheema Hospital,18039
24123,Nyali Healthcare LTD Bamburi,18032
22784,Equity Afia Kayole,18030
25416,Nationakor Dispensary,18029
21965,Holy Rosary Health Centre,18021
25612,MIKINDUNI DISPENSARY,18020
22128,St. Peters Medical Centre Bulwani,18016
23623,German Medical Center,18015
25221,Coast General Teaching  and Referral Hospital Vikwatani Outreach Centre,18014
24150,Thika Nursing Hospital,18013
25131,Dinome Medical Centre,18012
21316,Lokori Health Centre,18009_40
22529,Nyamasaria Medical Clinic,18009_39
21345,Lokichar Health Centre,18009_38
24962,Canaan Medical Clinic (Turkana South),18009_37
23058,Bliss GVS Embakasi Clinic,18009_36
24270,Baldo Ippolita (Catholic) Health Centre,18009_35
24144,Jamii Wellness Hospital,18009_31
23952,Dandelion Medical Centre,18009_30
24141,Ganjoni Hospital,18009_29
26426,Whiterose Medical Centre-Kibingoti satellite,18009_28
23136,Mayuge Dispensary,18009_27
25827,Medstops  Healthcare  Kenya,18009_23
22624,Rafiki Health Centre,18009_22
26436,Butiye Healthcare Clinic,18009_20
24941,Bulla Pesa Dispensary (Isiolo),18009_15
23542,St Mary's Mother & Child Hospital,18009_08
18177,Cedar Hospital -Eldoret,18009_07
26335,Kariobangi South Primecare Health Services,18009_04
24169,Imani Makongeni Medical Clinic,18009_01
24292,Citamed Family Health Clinic,18009
22407,Obwogre Dispensary,18006
24281,Shammah Nursing Home,18005
21035,Apatit Dispensary,18001
14681,Kanakurudio Health Centre,17999
25188,Sanura Medical Centre,17998
17160,Kishaunet Dispensary,17997
23677,Sori Lakeside Hospital (Sindo),17996
22839,Marble healthcare limited,17994
21619,Mewa Drop In Centre (Kilifi),17993
15203,Moi Ndabi Dispensary,17990
20544,Mata-arba Dispensary,17989
26142,Mikindani Hospital,17988
24952,Frevane Hospital,17986
22564,Tumaini Dice,17983
23195,Riamoni Dispensary,17980
23753,Kirumbi Dispensary,17979_50
24816,The Nairobi Women's Hospital (Meru),17979_40
22351,Euraka Medical Centre,17979_38
22619,Koinange Dispensary,17979_37
21320,Babito Medical Clinic,17979_36
26227,Esidende Dispensary,17979_35
22660,Runogone Dispensary,17979_34
23047,Afyacare health services,17979_33
22342,Bahati Community Hospital,17979_32
18484,Kariobangi (Catholic) Dispensary,17979_31
22073,Samawati medical Centre,17979_25
18029,Thome Clinic,17979_21
21335,Kakuma Health Centre,17979_20
22974,Bonde Dispensary (Awendo),17979_17
22519,Namang'ofulo Dispensary,17979_15
17618,Silvercrest Medicare Hospital,17979_14
25007,Kolongolo Mission Dispensary,17979_11
24809,Cephas Medical Clinic,17979_09
22481,Kilifi GK Prison VCT,17979_08
24233,Archers Post Sub-County Hospital,17979_07
22678,Masii Medical Centre,17979_04
17650,SHOFCO Medical Clinic (Kibera),17979_03
13382,Korakora Health Centre,17979_02
23779,Tulinge Dispensary,17979_01
20633,Nduuri Dispensary,17979
23285,Chaani Catholic Dispensary,17976
24644,Kamusinde Dispensary,17975
24098,Oasis Health Siaya,17974
14654,Kakuma Medical Clinic,17970
21439,Tumaini Letu Health Services (Machakos),17966
21906,Nakuru west central store,17961
24686,Eshibembe Health Centre,17956
22065,Galilee Medical Centre,17951
22623,Nzoia Medical Centre (Chwele),17950
20413,Kisekini Dispensary,17949
22287,Reach out Centre Trust,17948
24264,Gituamba Dispensary,17943
21858,Trinity Medical Clinic (Ngong),17942
25503,Oakwood Hospital,17939
13411,Modogashe Hospital,17934
21090,Kapchesewes dispensary,17933
22038,Kiburuti Dispensary,17931
23550,Kihuho Milangine Dispensary,17930
14787,Kaptoboiti Dispensary,17929
23275,Thagana County Medical Centre,17928
26101,Consolata Kyeni Kibugua Dispensary,17926
21429,Rukuriri Dispensary,17921
23974,Chuka Nursing Home,17920
21885,Mikulinzi Nursing Home,17919
23576,Avenue HealthCare (Changamwe Clinic),17918
24743,St Francis Catholic Dispensary (Gatina),17917
14567,Illasit Medical Clinic,17914
None,Edali Medical Clinic,17912
None,Kisima Diagnostic & Treatment Centre,17911
None,Kanyongo Dispensary,17910
None,Kamagak Health Centre,17909
None,ALPS MEDICAL CLINIC,17902
None,Identsmiles limited,17899
None,Kisiwa Medical centre,17893
None,VESI GITHABAI NURSING HOME LIMITED,17892
None,Thangathi,17891
None,SHALPOGH DISPENSARY,17890
None,KOCHIY DISPENSARY,17889
None,Mercy and Grace Medical Clinic,17888
None,Cas Care Clinic,17885
None,KIASIE Medical Clinic,17884
None,Randa Medical Services,17883
None,Kapten Highway Medical Center,17881
None,Progress Medical Services,17880
None,INAAM Health care Clinic Nanyuki,17878
None,Eldoret Wellness Centre NIAK,17877
None,Lespoir Medical Centre,17872
None,Chorwa Dispensary,17871
None,Stevvas Medical Clinic,17866
None,Gatuamba SDA dispensary,17863
None,Annex Nucleaur Medical Diagnostic Center Mbiri,17862
None,Jamii Dental Clinic,17860
None,Jamii Dental Clinic-Rongo,17859
None,Labura Medical Clinic,17858
None,Ikumari medical clinic,17854
None,Kairi Medical Clinic-Kieni East,17852
None,Metrick Medical Clinic,17850
None,Chaka Medial Clinic-Kieni East,17847
None,Daima Medical Clinic-Kieni East,17846
None,Tambuzi Medical Clinic,17845
None,Shalom Community Nursing,17844
None,Afya bora health care,17843
None,Mwaka Community Nursing Services,17839
None,Elshadai Community Nursing Services,17838
None,Joy Community Nursing Services,17835
None,Gitimaini dispensary,17834
None,Dr Adil Gulam,17832
None,Warable Dispensary,17830
None,St.veronicah medical clinic,17822
None,Kosoiywo Dispensary,17821
25385,Laveen Health Services,17817
25098,Hosana Medical Clinic,17816
23000,Pemba Medicare Kangeta,17814
18171,Administration Police Senior Staff College Dispensary,17813
25386,Royalstar Family Hospital,17807
25722,Penda Medical Center - Mathare North,17802
22945,Kaluluini Dispensary,17799
24583,Trust Doctors Centre Mwananchi,17793
22690,Kianjogu Dispensary,17791
23702,Oasis Maternity and Nursing Home,17787
23738,Kory Family HospitaI (Kimilili),17786
25357,Diani Beach Hospital Main,17785
25206,Berton Health Specialists Clinic,17783
22086,Ziwa La Ng'ombe Health Centre,17779
25702,Annie Hospital,17778
17061,Mbugiti Dispensary,17774
23045,Majaoni Healthcare Clinic,17772
22151,St Bakhita Mission,17769
21545,Kachororoni Dispensary,17767
17166,Tuungane Youth Transition Centre,17766
21797,New Point Medical Centre,17765
20378,St.Teresa Hospital Kiambu,17763
23587,Bisunu Dispensary,17762
24843,Sebit Health Centre (Pokot South),17759
24355,Imani Medical clinic,17757
24967,Kinondo Kwetu Medical Clinic (Shimbahills),17747
17538,Kitise Rural Development VCT,17744
22084,Equity Afia Clinic (Buruburu),17742
21404,Teens Watch Centre,17741
23781,Osman Medical Clinic,17740
24524,Koki Medical Clinic,17739
23816,LADNAN HOSPITAL,17737
25212,Embu Children  Tenri(Makima),17736
26450,Care And Cure Doctors Plaza,17735
23409,Mioro Dispensary,17733
25251,Jamii Health Care,17732
23661,Lumumba Health Unit,17730
22173,TUMAINI DISC-SIAYA,17729
22278,Wongonyi Dispensary,17728
22464,Mwangea Dispensary,17726
24966,Eastend Doctors,17725
23116,Masimba medicare centre,17723
17280,Nairimirimo Dispensary,17721
22906,Olympus Medical Centre,17720
25061,Kapkores Dispensary,17719
22950,Powys Dispensary,17717
